regionId,regionName,date,percent
9,Kaluga Oblast,2001-11-01T00:00:00,19.0000
9,Kaluga Oblast,2001-12-01T00:00:00,22.9000
9,Kaluga Oblast,2002-01-01T00:00:00,23.0000
9,Kaluga Oblast,2002-02-01T00:00:00,16.0000
9,Kaluga Oblast,2002-03-01T00:00:00,21.0000
9,Kaluga Oblast,2002-04-01T00:00:00,17.0000
9,Kaluga Oblast,2002-05-01T00:00:00,26.0000
9,Kaluga Oblast,2002-06-01T00:00:00,26.0000
9,Kaluga Oblast,2002-07-01T00:00:00,20.0000
9,Kaluga Oblast,2002-08-01T00:00:00,21.4000
9,Kaluga Oblast,2002-09-01T00:00:00,27.0000
9,Kaluga Oblast,2002-10-01T00:00:00,27.9000
9,Kaluga Oblast,2002-11-01T00:00:00,24.0000
9,Kaluga Oblast,2002-12-01T00:00:00,18.0000
9,Kaluga Oblast,2003-01-01T00:00:00,27.4000
9,Kaluga Oblast,2003-02-01T00:00:00,15.5000
9,Kaluga Oblast,2003-03-01T00:00:00,19.8000
9,Kaluga Oblast,2003-04-01T00:00:00,15.1000
9,Kaluga Oblast,2003-05-01T00:00:00,17.6300
9,Kaluga Oblast,2003-06-01T00:00:00,25.4500
9,Kaluga Oblast,2003-07-01T00:00:00,20.2900
9,Kaluga Oblast,2003-08-01T00:00:00,20.3800
9,Kaluga Oblast,2003-09-01T00:00:00,23.7800
9,Kaluga Oblast,2003-10-01T00:00:00,13.2800
9,Kaluga Oblast,2003-11-01T00:00:00,17.8100
9,Kaluga Oblast,2003-12-01T00:00:00,17.3600
9,Kaluga Oblast,2004-01-01T00:00:00,18.5500
9,Kaluga Oblast,2004-02-01T00:00:00,22.5500
9,Kaluga Oblast,2004-03-01T00:00:00,20.3500
9,Kaluga Oblast,2004-04-01T00:00:00,18.8600
9,Kaluga Oblast,2004-05-01T00:00:00,16.7900
16,Voronezh Oblast,2001-01-01T00:00:00,19.1000
16,Voronezh Oblast,2001-02-01T00:00:00,22.7000
16,Voronezh Oblast,2001-03-01T00:00:00,20.6000
16,Voronezh Oblast,2001-04-01T00:00:00,22.5000
16,Voronezh Oblast,2001-05-01T00:00:00,21.0000
16,Voronezh Oblast,2001-06-01T00:00:00,21.0000
16,Voronezh Oblast,2001-07-01T00:00:00,20.9000
16,Voronezh Oblast,2001-08-01T00:00:00,20.6000
16,Voronezh Oblast,2001-09-01T00:00:00,21.3000
16,Voronezh Oblast,2001-10-01T00:00:00,20.3000
16,Voronezh Oblast,2001-11-01T00:00:00,21.7000
16,Voronezh Oblast,2001-12-01T00:00:00,22.0000
16,Voronezh Oblast,2002-01-01T00:00:00,23.7000
16,Voronezh Oblast,2002-02-01T00:00:00,22.3000
16,Voronezh Oblast,2002-03-01T00:00:00,22.3000
16,Voronezh Oblast,2002-04-01T00:00:00,22.6000
16,Voronezh Oblast,2002-05-01T00:00:00,23.2000
16,Voronezh Oblast,2002-06-01T00:00:00,21.9000
16,Voronezh Oblast,2002-07-01T00:00:00,22.8000
16,Voronezh Oblast,2002-08-01T00:00:00,22.5000
16,Voronezh Oblast,2002-09-01T00:00:00,22.3000
16,Voronezh Oblast,2002-10-01T00:00:00,21.8000
16,Voronezh Oblast,2002-11-01T00:00:00,22.1000
16,Voronezh Oblast,2002-12-01T00:00:00,21.9000
16,Voronezh Oblast,2003-01-01T00:00:00,21.7000
16,Voronezh Oblast,2003-02-01T00:00:00,20.2000
16,Voronezh Oblast,2003-03-01T00:00:00,19.9000
16,Voronezh Oblast,2003-04-01T00:00:00,19.2000
16,Voronezh Oblast,2003-05-01T00:00:00,19.1000
16,Voronezh Oblast,2003-06-01T00:00:00,18.1000
16,Voronezh Oblast,2003-07-01T00:00:00,17.4000
16,Voronezh Oblast,2003-08-01T00:00:00,17.2000
16,Voronezh Oblast,2003-09-01T00:00:00,18.0000
16,Voronezh Oblast,2003-10-01T00:00:00,17.2000
16,Voronezh Oblast,2003-11-01T00:00:00,17.4000
16,Voronezh Oblast,2003-12-01T00:00:00,17.3000
16,Voronezh Oblast,2004-01-01T00:00:00,18.1000
16,Voronezh Oblast,2004-03-01T00:00:00,16.6000
16,Voronezh Oblast,2004-04-01T00:00:00,16.6000
18,Kostroma Oblast,2001-01-01T00:00:00,30.1000
18,Kostroma Oblast,2001-02-01T00:00:00,31.3000
18,Kostroma Oblast,2001-03-01T00:00:00,26.7000
18,Kostroma Oblast,2001-04-01T00:00:00,25.8000
18,Kostroma Oblast,2001-05-01T00:00:00,27.6000
18,Kostroma Oblast,2001-06-01T00:00:00,25.4000
18,Kostroma Oblast,2001-07-01T00:00:00,27.0200
18,Kostroma Oblast,2001-08-01T00:00:00,28.8000
18,Kostroma Oblast,2001-09-01T00:00:00,33.5000
18,Kostroma Oblast,2001-10-01T00:00:00,25.7000
18,Kostroma Oblast,2001-11-01T00:00:00,21.0000
18,Kostroma Oblast,2001-12-01T00:00:00,26.2000
18,Kostroma Oblast,2002-01-01T00:00:00,21.0000
18,Kostroma Oblast,2002-02-01T00:00:00,21.3000
18,Kostroma Oblast,2002-03-01T00:00:00,21.8000
18,Kostroma Oblast,2002-04-01T00:00:00,21.2000
18,Kostroma Oblast,2002-05-01T00:00:00,23.1000
18,Kostroma Oblast,2002-06-01T00:00:00,22.4000
18,Kostroma Oblast,2002-07-01T00:00:00,21.1000
18,Kostroma Oblast,2002-08-01T00:00:00,19.4000
18,Kostroma Oblast,2002-09-01T00:00:00,20.7000
18,Kostroma Oblast,2002-10-01T00:00:00,27.3000
18,Kostroma Oblast,2002-11-01T00:00:00,19.5000
18,Kostroma Oblast,2002-12-01T00:00:00,20.4000
18,Kostroma Oblast,2003-01-01T00:00:00,20.8000
18,Kostroma Oblast,2003-02-01T00:00:00,19.9000
18,Kostroma Oblast,2003-03-01T00:00:00,19.2000
18,Kostroma Oblast,2003-04-01T00:00:00,19.1000
18,Kostroma Oblast,2003-05-01T00:00:00,24.3000
18,Kostroma Oblast,2003-06-01T00:00:00,21.2000
18,Kostroma Oblast,2003-07-01T00:00:00,17.7000
18,Kostroma Oblast,2003-08-01T00:00:00,12.6000
18,Kostroma Oblast,2003-09-01T00:00:00,17.2000
18,Kostroma Oblast,2003-10-01T00:00:00,16.8000
18,Kostroma Oblast,2003-11-01T00:00:00,7.2000
18,Kostroma Oblast,2003-12-01T00:00:00,8.8000
18,Kostroma Oblast,2004-01-01T00:00:00,8.9000
18,Kostroma Oblast,2004-02-01T00:00:00,7.1000
18,Kostroma Oblast,2004-03-01T00:00:00,14.5000
18,Kostroma Oblast,2004-04-01T00:00:00,14.8000
18,Kostroma Oblast,2004-05-01T00:00:00,26.2000
23,Moscow,2001-01-01T00:00:00,9.8860
23,Moscow,2001-02-01T00:00:00,10.1980
23,Moscow,2001-03-01T00:00:00,10.5140
23,Moscow,2001-04-01T00:00:00,10.1790
